2018-03-24 10:36:30.785	    7fc9b2616740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:tools::wallet2::refresh(unsigned long, unsigned long&, bool&)+0x1bc [0x78095c]
2018-03-24 10:36:30.785	    7fc9b2616740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:tools::wallet2::refresh()+0x33 [0x781743]
2018-03-24 10:36:30.785	    7fc9b2616740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] ./monero-wallet-rpc:main+0xa16 [0x6a2a46]
2018-03-24 10:36:30.785	    7fc9b2616740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7fc9b192c830]
2018-03-24 10:36:30.785	    7fc9b2616740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [8] ./monero-wallet-rpc:_start+0x29 [0x6abeb9]
2018-03-24 10:36:30.785	    7fc9b2616740	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 10:36:30.785	    7fc9b2616740	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:1887	Wallet initialization failed: no connection to daemon
2018-03-24 10:39:10.549	    7f576e390740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-03-24 10:39:10.550	    7f576e390740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Monero 'Helium Hydra' (v0.11.1.0-release)
2018-03-24 10:39:10.550	    7f576e390740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Logging to ./monero-wallet-rpc.log
2018-03-24 10:39:10.550	    7f576e390740	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:1853	Loading wallet...
2018-03-24 10:39:10.616	    7f576e390740	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:2505	Loaded wallet keys file, with public address: 45hdzyowrbALQEj9U8DDdbTP9moSnCk7P8m7ZshypUzzL8LG1uf4GS5QyojrvKTauD8EkThfdECqG8VxAwn1Ly1fKD6LnPq
2018-03-24 10:39:12.704	    7f576e390740	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:70	Binding on 127.0.0.1:18082
2018-03-24 10:39:12.705	    7f576e390740	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:1898	Starting wallet rpc server
2018-03-24 10:39:32.705	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:393	HTTP_CLIENT: Failed to SEND
2018-03-24 10:39:32.706	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:1216	!r. THROW EXCEPTION: error::no_connection_to_daemon
